npk,sub_post,post,grp,sect,dept,dept_account,division,plant
2602,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
3015,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
3152,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
3182,NULL,NULL,1-001-001-013-050,1-001-001-013,1-001-001,1-001-003,1-001,1
3198,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
3201,NULL,NULL,1-001-001-013-068,1-001-001-013,1-001-001,1-001-002,1-001,1
3349,NULL,NULL,1-001-001-009-055,1-001-001-009,1-001-001,1-001-002,1-001,1
5979,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
6092,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
6944,NULL,NULL,1-001-001-009-051,1-001-001-009,1-001-001,1-001-001,1-001,1
6947,NULL,NULL,NULL,1-001-001-009,1-001-001,1-001-001,1-001,1
6949,NULL,NULL,NULL,1-001-003-015,1-001-003,1-001-001,1-001,1
6950,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
6953,NULL,NULL,1-001-001-009-048,1-001-001-009,1-001-001,1-001-001,1-001,1
6955,NULL,NULL,1-001-003-018-054,1-001-003-018,1-001-003,1-001-003,1-001,1
6981,NULL,NULL,1-001-001-013-064,1-001-001-013,1-001-001,1-001-001,1-001,1
7010,NULL,NULL,1-001-001-009-053,1-001-001-009,1-001-001,1-001-002,1-001,1
7021,NULL,NULL,1-001-001-013-063,1-001-001-013,1-001-001,1-001-001,1-001,1
7055,NULL,NULL,1-001-002-002-003,1-001-002-002,1-001-002,1-001-001,1-001,1
7057,NULL,NULL,1-001-001-013-068,1-001-001-013,1-001-001,1-001-002,1-001,1
7058,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
7077,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
7175,NULL,NULL,1-001-003-015-047,1-001-003-015,1-001-003,1-001-003,1-001,1
7177,NULL,NULL,NULL,1-001-002-004,1-001-002,1-001-002,1-001,1
7178,NULL,NULL,1-001-002-006-031,1-001-002-006,1-001-002,1-001-001,1-001,1
7180,NULL,NULL,1-001-001-014-076,1-001-001-014,1-001-001,1-001-001,1-001,1
7201,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
7203,NULL,NULL,1-001-002-005-023,1-001-002-005,1-001-002,1-001-001,1-001,1
7207,NULL,NULL,NULL,1-001-003-018,1-001-003,1-001-003,1-001,1
7209,NULL,NULL,1-001-002-002-011,1-001-002-002,1-001-002,1-001-001,1-001,1
7210,NULL,NULL,1-001-003-016-049,1-001-003-016,1-001-003,1-001-002,1-001,1
7232,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
